passenger_id,Age,Airport_Continent,Airport_Country_Code,Airport_Name,Arrival_Airport,Continents,Country_Name,Departure_Date,First_Name,Flight_Status,Gender,Last_Name,Nationality,Pilot_Name
2116,45,EU,HR,Osijek Airport,OSI,Europe,Croatia,6/24/2022,Dorothea,On Time,Female,Rogister,Sweden,Trevor Braunston
9618,62,NAM,US,Coldfoot Airport,CXF,North America,United States,6/28/2022,Edithe,On Time,Female,Leggis,Japan,Fransisco Hazeldine
9757,48,NAM,US,Lebanon Municipal Airport,LEB,North America,United States,5/23/2022,Tansy,Delayed,Female,Symons,Indonesia,Olly Pawelek
1127,54,AS,SA,Turaif Domestic Airport,TUI,Asia,Saudi Arabia,02-08-2022,Rutger,Cancelled,Male,Georgeon,Myanmar,Steward Sainter
9056,46,NAM,US,Hattiesburg Laurel Regional Airport,PIB,North America,United States,7/27/2022,Marjory,Cancelled,Female,Franz,Nigeria,Padget Diben
1045,54,SAM,BR,Monte Carmelo Airport,0,South America,Brazil,9/14/2022,Krishnah,On Time,Male,Dabels,Russia,Freddie Wallach
6889,20,NAM,US,Nikolai Airport,NIB,North America,United States,08-11-2022,Anestassia,On Time,Female,Vauls,Albania,Lucio Notley
9209,55,SAM,BR,Coronel Horácio de Mattos Airport,LEC,South America,Brazil,06-10-2022,Lora,On Time,Female,Durbann,Brazil,Inglis Dolley
2863,45,AF,MG,Port Bergé Airport,WPB,Africa,Madagascar,8/24/2022,Bobbye,On Time,Female,Patmore,China,Stella Pittham
3575,85,NAM,DO,Casa De Campo International Airport,LRM,North America,Dominican Republic,04-04-2022,Violetta,Delayed,Female,Francois,Indonesia,Christel Blues
3677,3,NAM,US,Spirit of St Louis Airport,SUS,North America,United States,7/17/2022,Cordie,On Time,Female,Rosenberger,Brazil,Enrica Ferrarini
2093,56,NAM,CA,Victoria Harbour Seaplane Base,YWH,North America,Canada,01-12-2022,Gene,Delayed,Male,Cottham,Philippines,Sib Feragh
4146,37,SAM,CO,Orocue Airport,ORC,South America,Colombia,08-12-2022,Arel,Cancelled,Male,Tyson,Spain,Danie Maggiore
2075,36,SAM,BR,Maestro Wilson Fonseca Airport,STM,South America,Brazil,04-07-2022,Perceval,Cancelled,Male,Dallosso,Vietnam,Sharyl Eastmead
9649,19,OC,NC,Nesson Airport,HLU,Oceania,New Caledonia,3/25/2022,Murvyn,Cancelled,Male,Duff,Germany,Dorine Timmermann
8302,33,NAM,KY,Gerrard Smith International Airport,CYB,North America,Cayman Islands,06-11-2022,Gauthier,Cancelled,Male,Elsip,Uruguay,Leslie Delmage
9938,6,AS,VN,Cà Mau Airport,CAH,Asia,Viet Nam,1/13/2022,Leandra,Cancelled,Female,Demer,Colombia,Lizbeth Snaden
4419,45,NAM,CA,Fort Mcpherson Airport,ZFM,North America,Canada,12-04-2022,Maia,Delayed,Female,Kidwell,Philippines,Dorise Ronchka
8444,19,NAM,CA,St Augustin Airport,YIF,North America,Canada,11-05-2022,Dorisa,Cancelled,Female,Skill,Ukraine,Ilyse Bartleman
7225,70,SAM,CO,El Dorado International Airport,BOG,South America,Colombia,03-12-2022,Edlin,On Time,Male,Theobald,Poland,Lisha Retallick
7898,21,OC,PG,Pureni Airport,PUI,Oceania,Papua New Guinea,8/15/2022,Kelsy,Delayed,Female,Danhel,Indonesia,Sacha Munford
9820,23,EU,RU,Nalchik Airport,NAL,Europe,Russian Federation,11/26/2022,Rodolph,Delayed,Male,Grewcock,Kazakhstan,Constantine Leworthy
3196,87,NAM,US,Elkhart Municipal Airport,EKI,North America,United States,3/20/2022,Sayre,Cancelled,Male,Stroyan,Indonesia,Austine Crewe
5094,3,AS,ID,Yuruf Airport,RUF,Asia,Indonesia,05-02-2022,Fidelio,Delayed,Male,Guerry,China,Caye Donat
1457,79,OC,PG,Talasea Airport,TLW,Oceania,Papua New Guinea,07-07-2022,Cordy,On Time,Male,Plenderleith,Sweden,Fifine Dodshon
4351,57,NAM,US,Elkhart Municipal Airport,EKI,North America,United States,11/29/2022,Rufus,Cancelled,Male,Bernardini,Peru,Brittan Barends
2583,2,NAM,NI,Augusto C. Sandino (Managua) International Airport,MGA,North America,Nicaragua,02-02-2022,Ransell,Delayed,Male,Evins,Russia,Berna Tenwick
8677,89,AF,CM,Kribi Airport,KBI,Africa,Cameroon,1/13/2022,Biddy,On Time,Female,Rief,Vietnam,Darlleen Twohig
8662,37,AS,ID,Sultan Khairun Babullah Airport,TTE,Asia,Indonesia,05-11-2022,Carlota,Cancelled,Female,Llewhellin,China,Reube Branwhite
9016,89,AF,MR,Tamchakett Airport,THT,Africa,Mauritania,10/25/2022,Findley,Delayed,Male,Godleman,Indonesia,Mitchell Parsisson
3917,54,NAM,US,Central Maine Airport of Norridgewock,OWK,North America,United States,4/13/2022,Collin,Delayed,Male,Ciepluch,China,Torin Le Leu
1664,9,NAM,US,Phoenix-Mesa-Gateway Airport,AZA,North America,United States,06-10-2022,Skelly,On Time,Male,Gopsell,Czech Republic,Deborah Mathissen
5029,89,AF,ZA,Arathusa Safari Lodge Airport,ASS,Africa,South Africa,10-07-2022,Carolann,Cancelled,Female,Yves,Poland,Dulci Milne
1127,62,AS,RU,Mirny Airport,MJZ,Asia,Russian Federation,2/21/2022,Anders,On Time,Male,Treadger,Madagascar,Giacomo Tooth
8305,79,AS,IR,Bandar Lengeh Airport,BDH,Asia,"""Iran, Islamic Republic of""",12-05-2022,Bernardo,Cancelled,Male,Bigland,Philippines,Corissa Lamps
2571,76,NAM,US,McGhee Tyson Airport,TYS,North America,United States,02-07-2022,Margaux,Delayed,Female,Lattin,Guatemala,Sydelle Danher
7848,27,EU,IS,Fáskrúðsfjörður Airport,FAS,Europe,Iceland,1/13/2022,Artemus,On Time,Male,Brewitt,China,Jayme Witard
8229,18,OC,PG,Hatzfeldhaven Airport,HAZ,Oceania,Papua New Guinea,5/25/2022,Basil,Cancelled,Male,Canon,Portugal,Siobhan Philippon
6577,87,OC,AU,Leinster Airport,LER,Oceania,Australia,8/21/2022,Flin,Delayed,Male,Bordone,Philippines,Hunt Sommerlie
1306,25,AS,ID,Muhammad Salahuddin Airport,BMU,Asia,Indonesia,8/28/2022,Marlin,Cancelled,Male,Yegorev,Egypt,Saidee Sellers
8498,54,NAM,CR,Islita Airport,PBP,North America,Costa Rica,7/15/2022,Dermot,Cancelled,Male,Stainburn,Armenia,Buddy Guslon
2649,76,EU,DE,"""Magdeburg """"City"""" Airport""",ZMG,Europe,Germany,12-06-2022,Clemmie,Cancelled,Male,Harbertson,Ukraine,Tadio Hayne
